Time,NGA VAV:DesPer 1:Des Heat Mass Flow [kg/s],NGA VAV:DesPer 1:Des Heat Cap [W],NGA VAV:DesPer 1:Des Cool Mass Flow [kg/s],NGA VAV:DesPer 1:Des Sens Cool Cap [W],NGA VAV:DesPer 1:Des Tot Cool Cap [W],NGA VAV:DesPer 2:Des Heat Mass Flow [kg/s],NGA VAV:DesPer 2:Des Heat Cap [W],NGA VAV:DesPer 2:Des Cool Mass Flow [kg/s],NGA VAV:DesPer 2:Des Sens Cool Cap [W],NGA VAV:DesPer 2:Des Tot Cool Cap [W],GA1F VAV:DesPer 1:Des Heat Mass Flow [kg/s],GA1F VAV:DesPer 1:Des Heat Cap [W],GA1F VAV:DesPer 1:Des Cool Mass Flow [kg/s],GA1F VAV:DesPer 1:Des Sens Cool Cap [W],GA1F VAV:DesPer 1:Des Tot Cool Cap [W],GA1F VAV:DesPer 2:Des Heat Mass Flow [kg/s],GA1F VAV:DesPer 2:Des Heat Cap [W],GA1F VAV:DesPer 2:Des Cool Mass Flow [kg/s],GA1F VAV:DesPer 2:Des Sens Cool Cap [W],GA1F VAV:DesPer 2:Des Tot Cool Cap [W],GA2F VAV:DesPer 1:Des Heat Mass Flow [kg/s],GA2F VAV:DesPer 1:Des Heat Cap [W],GA2F VAV:DesPer 1:Des Cool Mass Flow [kg/s],GA2F VAV:DesPer 1:Des Sens Cool Cap [W],GA2F VAV:DesPer 1:Des Tot Cool Cap [W],GA2F VAV:DesPer 2:Des Heat Mass Flow [kg/s],GA2F VAV:DesPer 2:Des Heat Cap [W],GA2F VAV:DesPer 2:Des Cool Mass Flow [kg/s],GA2F VAV:DesPer 2:Des Sens Cool Cap [W],GA2F VAV:DesPer 2:Des Tot Cool Cap [W],GA3F VAV:DesPer 1:Des Heat Mass Flow [kg/s],GA3F VAV:DesPer 1:Des Heat Cap [W],GA3F VAV:DesPer 1:Des Cool Mass Flow [kg/s],GA3F VAV:DesPer 1:Des Sens Cool Cap [W],GA3F VAV:DesPer 1:Des Tot Cool Cap [W],GA3F VAV:DesPer 2:Des Heat Mass Flow [kg/s],GA3F VAV:DesPer 2:Des Heat Cap [W],GA3F VAV:DesPer 2:Des Cool Mass Flow [kg/s],GA3F VAV:DesPer 2:Des Sens Cool Cap [W],GA3F VAV:DesPer 2:Des Tot Cool Cap [W]
00:01:00,6.491984E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.742967E+03,5.270514E-01,1.070240E+03,6.986723E+03,1.200181E-02,4.510485E+02,3.793575E+00,2.699058E+04,1.192112E+05,1.200181E-02,6.246177E+01,3.152189E+00,2.274072E+04,8.391463E+04,1.199022E-02,4.506130E+02,5.201851E+00,3.718024E+04,1.562133E+05,1.199022E-02,6.240147E+01,7.054321E+00,5.096099E+04,1.945402E+05,1.199022E-02,4.506130E+02,2.133726E+00,1.391920E+04,6.228260E+04,1.199022E-02,6.240147E+01,7.407764E+00,5.351880E+04,2.167195E+05
00:02:00,6.492005E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.751017E+03,5.270514E-01,1.062190E+03,6.978455E+03,1.200181E-02,4.510485E+02,5.900397E+00,4.221777E+04,1.680218E+05,1.200181E-02,6.264508E+01,4.768497E+00,3.442977E+04,1.254073E+05,1.199022E-02,4.506130E+02,7.571104E+00,5.430388E+04,2.052556E+05,1.199022E-02,6.258461E+01,9.423487E+00,6.808160E+04,2.394139E+05,1.199022E-02,4.506130E+02,6.550778E+00,4.412262E+04,1.815694E+05,1.199022E-02,6.258461E+01,1.090541E+01,7.879376E+04,2.841846E+05
00:03:00,6.492027E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.759067E+03,5.270514E-01,1.054140E+03,6.970187E+03,1.200181E-02,4.510485E+02,6.770146E+00,4.849923E+04,1.733801E+05,1.200181E-02,6.282840E+01,6.449537E+00,4.658398E+04,1.654348E+05,1.199022E-02,4.506130E+02,8.367913E+00,6.005513E+04,2.024720E+05,1.199022E-02,6.276775E+01,1.060058E+01,7.658078E+04,2.455913E+05,1.199022E-02,4.506130E+02,7.691654E+00,5.248325E+04,1.848558E+05,1.199022E-02,6.276775E+01,1.271876E+01,9.188290E+04,2.861670E+05
00:04:00,6.492048E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.767117E+03,5.270514E-01,1.046090E+03,6.961918E+03,1.200181E-02,4.510485E+02,7.504601E+00,5.380728E+04,1.850984E+05,1.200181E-02,6.301171E+01,8.028830E+00,5.799964E+04,1.998837E+05,1.199022E-02,4.506130E+02,8.690075E+00,6.238134E+04,2.035240E+05,1.199022E-02,6.295088E+01,1.134836E+01,8.198168E+04,2.548580E+05,1.199022E-02,4.506130E+02,8.075471E+00,5.578846E+04,1.809029E+05,1.199022E-02,6.295088E+01,1.359965E+01,9.824072E+04,2.861047E+05
00:05:00,6.492070E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.775168E+03,5.270514E-01,1.038040E+03,6.953645E+03,1.200181E-02,4.510485E+02,8.302094E+00,5.957217E+04,2.078395E+05,1.200181E-02,6.319502E+01,9.538073E+00,6.890698E+04,2.315396E+05,1.199022E-02,4.506130E+02,9.644267E+00,6.927940E+04,2.355116E+05,1.199022E-02,6.313402E+01,1.250928E+01,9.037155E+04,2.886643E+05,1.199022E-02,4.506130E+02,8.908849E+00,6.234420E+04,2.065031E+05,1.199022E-02,6.313402E+01,1.494089E+01,1.079320E+05,3.241034E+05
00:06:00,6.492091E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.783218E+03,5.270514E-01,1.029990E+03,6.945377E+03,1.200181E-02,4.510485E+02,9.229115E+00,6.627389E+04,2.382049E+05,1.200181E-02,6.337834E+01,1.100193E+01,7.948464E+04,2.624872E+05,1.199022E-02,4.506130E+02,1.127329E+01,8.105304E+04,2.875928E+05,1.199022E-02,6.331716E+01,1.416779E+01,1.023556E+05,3.378217E+05,1.199022E-02,4.506130E+02,1.062919E+01,7.538384E+04,2.621778E+05,1.199022E-02,6.331716E+01,1.704100E+01,1.231049E+05,3.893623E+05
00:07:00,6.492112E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.791268E+03,5.270514E-01,1.021940E+03,6.937108E+03,1.200181E-02,4.510485E+02,6.469435E+00,4.632173E+04,1.708397E+05,1.200181E-02,6.356165E+01,1.103920E+01,7.974705E+04,2.606020E+05,1.199022E-02,4.506130E+02,9.150368E+00,6.569778E+04,2.344890E+05,1.199022E-02,6.350029E+01,1.258211E+01,9.088425E+04,3.019098E+05,1.199022E-02,4.506130E+02,1.054634E+01,7.571349E+04,2.664065E+05,1.199022E-02,6.350029E+01,1.511102E+01,1.091439E+05,3.510555E+05
00:08:00,6.492133E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.799318E+03,5.270514E-01,1.013889E+03,6.928836E+03,1.200181E-02,4.510485E+02,5.691362E+00,4.070616E+04,1.522806E+05,1.200181E-02,6.374497E+01,1.085391E+01,7.840819E+04,2.546230E+05,1.199022E-02,4.506130E+02,8.190918E+00,5.877217E+04,2.054667E+05,1.199022E-02,6.368343E+01,1.178639E+01,8.514269E+04,2.788971E+05,1.199022E-02,4.506130E+02,7.919304E+00,5.679577E+04,1.962335E+05,1.199022E-02,6.368343E+01,1.375828E+01,9.938474E+04,3.143529E+05
00:09:00,6.492154E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.807368E+03,5.270514E-01,1.005839E+03,6.920567E+03,1.200181E-02,4.510485E+02,6.111079E+00,4.374504E+04,1.631379E+05,1.200181E-02,6.392828E+01,1.060232E+01,7.659138E+04,2.477104E+05,1.199022E-02,4.506130E+02,8.545168E+00,6.133933E+04,2.105859E+05,1.199022E-02,6.386657E+01,1.199807E+01,8.667927E+04,2.800557E+05,1.199022E-02,4.506130E+02,8.213651E+00,5.894358E+04,1.985587E+05,1.199022E-02,6.386657E+01,1.381005E+01,9.977238E+04,3.089046E+05
00:10:00,6.492175E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.815418E+03,5.270514E-01,9.977893E+02,6.912299E+03,1.200181E-02,4.510485E+02,6.444981E+00,4.615846E+04,1.704918E+05,1.200181E-02,6.411159E+01,1.045358E+01,7.551821E+04,2.434949E+05,1.199022E-02,4.506130E+02,9.376501E+00,6.734926E+04,2.310018E+05,1.199022E-02,6.404970E+01,1.262177E+01,9.118749E+04,2.939824E+05,1.199022E-02,4.506130E+02,9.172867E+00,6.587959E+04,2.201910E+05,1.199022E-02,6.404970E+01,1.472647E+01,1.063982E+05,3.273361E+05
