Date/Time,PLANTFACTORY_1F:CEA Evapotranspiration Rate [kg/m2-s](TimeStep),PLANTFACTORY_2F:CEA Evapotranspiration Rate [kg/m2-s](TimeStep),PLANTFACTORY_3F:CEA Evapotranspiration Rate [kg/m2-s](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep),IndoorLivingWall:InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](TimeStep) 
 07/08  00:01:00,0.000012647590740710378,0.00001040220475945517,0.000007826249017558992,11064701.57672619,283233.1264342538,3203184.3953332775,47469203.7615,47309184.0,65465120.61197535 
 07/08  00:02:00,0.00001287815848578547,0.00001109370128410175,0.000009474537225657756,11064701.57672619,286451.89907462586,3203184.3953332775,47469211.238922015,47309191.477422014,65468680.98852906 
 07/08  00:03:00,0.000013282466729615157,0.000011959843476492448,0.000011642786325536991,11064701.57672619,287207.7732697568,3203184.3953332775,47469186.29033052,47309166.52883052,65469745.95448734 
 07/08  00:04:00,0.000013683165929717783,0.000012402632862017937,0.000012799693899090904,11064701.57672619,286514.0439590644,3203184.3953332775,47469201.20045313,47309181.43895313,65469401.11712623 
 07/08  00:05:00,0.000013943450718490593,0.000012360086810312745,0.000012657873166703537,11064701.57672619,285343.38643598516,3203184.3953332775,47469213.12855123,47309193.36705123,65468576.187576905 
 07/08  00:06:00,0.000014048691646528624,0.000012184800237716868,0.00001211136380194528,11064701.57672619,284255.2028269458,3203184.3953332775,47469223.03881869,47309203.277318686,65467831.658302225 
 07/08  00:07:00,0.000014049558175185204,0.000012156926515341332,0.000011931883514667766,11064701.57672619,282847.8345755859,3203184.3953332775,47469231.563999765,47309211.80249976,65466766.4149023 
 07/08  00:08:00,0.000014003193815249861,0.000012281258286415001,0.000012171330788087532,11064701.57672619,281223.21564062947,3203184.3953332775,47469238.992228225,47309219.230728224,65465482.59878254 
 07/08  00:09:00,0.000013946393478344506,0.00001241791021315282,0.00001247512556458521,11064701.57672619,279525.034332298,3203184.3953332775,47469245.59509796,47309225.83359796,65464124.18219543 
 07/08  00:10:00,0.000013894634434061585,0.000012475500092517415,0.000012594054589777467,11064701.57672619,278043.2577340718,3203184.3953332775,47469251.537680715,47309231.776180714,65462981.31966787 
 07/08  00:11:00,0.000013850804537396978,0.000012469248624424874,0.000012553615326244937,11064701.57672619,276225.6218374726,3203184.3953332775,47469255.9955122,47309236.2340122,65461500.81866297 
 07/08  00:12:00,0.000013813281235466032,0.000012458124275640553,0.000012499709155530265,11064701.57672619,274657.1116134271,3203184.3953332775,47469260.46407685,47309240.702576846,65460269.19408088 
 07/08  00:13:00,0.000013780190474196173,0.000012473715526802436,0.0000125139758092352,11064701.57672619,273028.1413065945,3203184.3953332775,47469260.48554313,47309240.72404313,65458972.3485592 
 07/08  00:14:00,0.000013750576437979154,0.000012506615270416104,0.000012575246219600007,11064701.57672619,271044.5761655384,3203184.3953332775,47469260.50700942,47309240.745509416,65457320.573541954 
 07/08  00:15:00,0.000013724185389611033,0.000012534708455508306,0.000012629067164636353,11064701.57672619,269305.8042089267,3203184.3953332775,47469260.528475694,47309240.7669757,65455913.21464879 
 07/08  00:16:00,0.000013700984415035593,0.000012548829755797392,0.000012651933413232593,11064701.57672619,267442.10343287257,3203184.3953332775,47469260.54636428,47309240.78486428,65454380.56270204 
 07/08  00:17:00,0.000013680879856824644,0.000012554814759598529,0.000012656921572180854,11064701.57672619,265412.3892639003,3203184.3953332775,47469260.59645227,47309240.83495227,65452681.506623425 
 07/08  00:18:00,0.0000136636566536339,0.000012561522394366435,0.000012664694391083038,11064701.57672619,263492.3699773909,3203184.3953332775,47469260.639384836,47309240.877884835,65451091.60898583 
 07/08  00:19:00,0.000013649022257856029,0.000012571910526945239,0.000012682076559715398,11064701.57672619,261372.3003136888,3203184.3953332775,47469260.64296256,47309240.88146256,65449301.190815054 
 07/08  00:20:00,0.000013636669945481865,0.000012583503447369647,0.000012703181736394717,11064701.57672619,259475.97704876232,3203184.3953332775,47469260.61076312,47309240.84926312,65447734.030833475 
 07/08  00:21:00,0.000013626320727127583,0.000012593272119473743,0.000012720921397516194,11064701.57672619,257470.05417638976,3203184.3953332775,47469260.57856369,47309240.81706369,65446056.698799 
 07/08  00:22:00,0.000013617729365059704,0.000012600644944209908,0.000012733898468432704,11064701.57672619,255402.028052435,3203184.3953332775,47469260.51416485,47309240.75266485,65444316.65070775 
 07/08  00:23:00,0.000013610681329443827,0.000012606916770381189,0.000012744915560401423,11064701.57672619,253428.8458388383,3203184.3953332775,47469260.42472199,47309240.663222,65442670.77903757 
 07/08  00:24:00,0.000013604991815761097,0.000012613301213808922,0.000012756575055985292,11064701.57672619,251326.0769403995,3203184.3953332775,47469260.31381287,47309240.552312866,65440894.74042738 
 07/08  00:25:00,0.000013600503243516713,0.000012620008171786098,0.000012769200429399658,11064701.57672619,249305.83204806538,3203184.3953332775,47469260.217214584,47309240.45571458,65439200.61862044 
 07/08  00:26:00,0.000013597071749578696,0.00001262658418904735,0.00001278173122828152,11064701.57672619,247343.49548881128,3203184.3953332775,47469260.13492717,47309240.37342717,65437563.67851093 
 07/08  00:27:00,0.000013594569523885286,0.000012632675013357493,0.000012793386181580256,11064701.57672619,245316.04421723858,3203184.3953332775,47469260.07052833,47309240.30902833,65435860.844233766 
 07/08  00:28:00,0.000013592887747612944,0.000012638314827148663,0.000012804224534058001,11064701.57672619,243216.87831080845,3203184.3953332775,47469260.05621747,47309240.29471747,65434085.71818582 
 07/08  00:29:00,0.000013591890479066062,0.000012643729870578052,0.000012814730307048425,11064701.57672619,241271.8422380093,3203184.3953332775,47469111.99968381,47309092.23818382,65432315.85759196 
 07/08  00:30:00,0.000013591496506961648,0.0000126490869080204,0.000012825189903073095,11064701.57672619,239319.73566311458,3203184.3953332775,47468832.31547866,47308812.55397866,65430406.478362955 
 07/08  00:31:00,0.00001359161355396091,0.00001265436940175669,0.000012835557750415155,11064701.57672619,237342.6804956085,3203184.3953332775,47468343.27419016,47308323.51269016,65428261.89348222 
 07/08  00:32:00,0.00001359224626736933,0.00001265954518813598,0.00001284571569852304,11064701.57672619,235302.60128271906,3203184.3953332775,47467914.0272338,47307894.26573381,65426113.25967673 
