Date/Time,Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep),IndoorLivingWall:InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](TimeStep) 
 07/08  01:56:00,11064701.57672619,211221.631152552,3203184.3953332775,47459655.708340324,47299635.94684033,65387947.43658615 
 07/08  01:57:00,11064701.57672619,211796.38792388738,3203184.3953332775,47459579.26332778,47299559.501827784,65388210.51961578 
 07/08  01:58:00,11064701.57672619,212371.99166766816,3203184.3953332775,47459407.118046544,47299387.35654654,65388379.40561894 
 07/08  01:59:00,11064701.57672619,213121.06228355033,3203184.3953332775,47459543.14272842,47299523.38122842,65389030.63483656 
 07/08  02:00:00,11064701.57672619,213785.0094889368,3203184.3953332775,47459831.77121827,47299812.00971828,65389749.9323518 
 07/08  02:01:00,11064701.57672619,214195.43840436934,3203184.3953332775,47460135.37244074,47300115.61094074,65390387.18732727 
 07/08  02:02:00,11064701.57672619,214503.8610990712,3203184.3953332775,47460395.61177093,47300375.85027093,65390879.118992135 
 07/08  02:03:00,11064701.57672619,214721.76369180097,3203184.3953332775,47460622.95402196,47300603.19252197,65391247.68339259 
 07/08  02:04:00,11064701.57672619,215046.06370050256,3203184.3953332775,47460820.422362074,47300800.66086207,65391692.850788645 
 07/08  02:05:00,11064701.57672619,215225.0066478655,3203184.3953332775,47460973.01901464,47300953.25751464,65391947.856021225 
 07/08  02:06:00,11064701.57672619,215414.05212129504,3203184.3953332775,47461079.244917564,47301059.48341757,65392166.644156955 
 07/08  02:07:00,11064701.57672619,215678.49904980313,3203184.3953332775,47461149.56846167,47301129.80696167,65392424.99109524 
 07/08  02:08:00,11064701.57672619,215820.15562799218,3203184.3953332775,47461170.494510174,47301150.73301018,65392511.212804615 
 07/08  02:09:00,11064701.57672619,216032.2223849785,3203184.3953332775,47461173.47116813,47301153.70966813,65392649.96803194 
 07/08  02:10:00,11064701.57672619,216412.22174042684,3203184.3953332775,47461173.45685727,47301153.69535727,65392953.70986438 
 07/08  02:11:00,11064701.57672619,216532.67207934908,3203184.3953332775,47461173.44254641,47301153.68104641,65392997.95012887 
 07/08  02:12:00,11064701.57672619,216709.00975095836,3203184.3953332775,47461173.39603615,47301153.63453615,65393098.13763021 
 07/08  02:13:00,11064701.57672619,217011.88774986804,3203184.3953332775,47461173.353103556,47301153.59160356,65393324.91267122 
 07/08  02:14:00,11064701.57672619,217191.50509229652,3203184.3953332775,47461173.31732642,47301153.555826426,65393428.4943899 
 07/08  02:15:00,11064701.57672619,217315.42373680416,3203184.3953332775,47461173.288704716,47301153.527204715,65393476.458069 
 07/08  02:16:00,11064701.57672619,217603.78591599216,3203184.3953332775,47461173.26723844,47301153.50573844,65393688.90401408 
 07/08  02:17:00,11064701.57672619,217867.15218244473,3203184.3953332775,47461173.25292758,47301153.49142758,65393876.456925265 
 07/08  02:18:00,11064701.57672619,218109.8954851207,3203184.3953332775,47461173.24219444,47301153.480694436,65394043.45076615 
 07/08  02:19:00,11064701.57672619,218254.11507301722,3203184.3953332775,47461173.23503901,47301153.47353901,65394111.98695229 
 07/08  02:20:00,11064701.57672619,218357.74139505965,3203184.3953332775,47461159.77210166,47301140.01060166,65394126.5120956 
 07/08  02:21:00,11064701.57672619,218788.8529449717,3203184.3953332775,47461161.267586075,47301141.506086074,65394483.55672089 
 07/08  02:22:00,11064701.57672619,219037.69112647985,3203184.3953332775,47461162.763070464,47301143.00157046,65394658.378289044 
 07/08  02:23:00,11064701.57672619,219050.7341046927,3203184.3953332775,47461164.258554876,47301144.497054875,65394597.45584765 
 07/08  02:24:00,11064701.57672619,219492.63118684615,3203184.3953332775,47461165.75403927,47301145.99253928,65394965.47480216 
 07/08  02:25:00,11064701.57672619,219661.97816315916,3203184.3953332775,47461167.249523684,47301147.48802369,65395060.97126122 
 07/08  02:26:00,11064701.57672619,219689.63784504373,3203184.3953332775,47461168.71280865,47301148.95130865,65395014.830133125 
 07/08  02:27:00,11064701.57672619,220154.60326805018,3203184.3953332775,47461170.14747192,47301150.38597192,65395406.04994764 
 07/08  02:28:00,11064701.57672619,220323.60904334974,3203184.3953332775,47461171.55709121,47301151.795591205,65395501.3223507 
 07/08  02:29:00,11064701.57672619,220529.69289699182,3203184.3953332775,47461172.913044766,47301153.15154477,65395633.65744506 
 07/08  02:30:00,11064701.57672619,220785.6327187132,3203184.3953332775,47461172.72700364,47301152.96550364,65395814.401806876 
 07/08  02:31:00,11064701.57672619,220924.51982813815,3203184.3953332775,47461172.53380709,47301152.77230709,65395878.145523965 
 07/08  02:32:00,11064701.57672619,221168.80453121164,3203184.3953332775,47461172.36923225,47301152.60773226,65396047.36917812 
 07/08  02:33:00,11064701.57672619,221521.56018947012,3203184.3953332775,47461172.2010797,47301152.4395797,65396325.111322984 
 07/08  02:34:00,11064701.57672619,221668.91782934015,3203184.3953332775,47461172.03292714,47301152.27142715,65396397.5204712 
 07/08  02:35:00,11064701.57672619,221866.58937253992,3203184.3953332775,47461171.83615289,47301152.07465289,65396520.2853528 
 07/08  02:36:00,11064701.57672619,222151.475402125,3203184.3953332775,47461171.61433463,47301151.85283463,65396730.28282011 
 07/08  02:37:00,11064701.57672619,222389.39837843817,3203184.3953332775,47461171.371050075,47301151.609550074,65396893.346952856 
 07/08  02:38:00,11064701.57672619,222498.04625166813,3203184.3953332775,47461171.14207639,47301151.380576395,65396927.22582487 
 07/08  02:39:00,11064701.57672619,222878.4511110054,3203184.3953332775,47461170.89163642,47301151.130136415,65397232.89418725 
 07/08  02:40:00,11064701.57672619,223017.12898447862,3203184.3953332775,47461170.6519296,47301150.8904296,65397296.93259828 
 07/08  02:41:00,11064701.57672619,223181.89074749808,3203184.3953332775,47461170.4229559,47301150.6614559,65397387.10095354 
 07/08  02:42:00,11064701.57672619,223550.14560389268,3203184.3953332775,47461183.6676527,47301163.9061527,65397694.3103796 
 07/08  02:43:00,11064701.57672619,223931.29084099198,3203184.3953332775,47461181.971816316,47301162.210316315,65397999.53062024 
 07/08  02:44:00,11064701.57672619,223860.6908086873,3203184.3953332775,47461261.07864799,47301241.31714799,65397933.85650558 
 07/08  02:45:00,11064701.57672619,224185.24724326358,3203184.3953332775,47461492.79644311,47301473.03494311,65398416.056969985 
 07/08  02:46:00,11064701.57672619,224540.8492310815,3203184.3953332775,47461455.22686963,47301435.46536963,65398660.02912857 
 07/08  02:47:00,11064701.57672619,224611.78368791495,3203184.3953332775,47461538.85950937,47301519.09800938,65398740.60345496 
 07/08  02:48:00,11064701.57672619,224852.1000714481,3203184.3953332775,47461514.78149493,47301495.01999493,65398882.89458282 
 07/08  02:49:00,11064701.57672619,225306.48802844848,3203184.3953332775,47461501.20049304,47301481.43899304,65399249.834315665 
 07/08  02:50:00,11064701.57672619,225407.65631863638,3203184.3953332775,47461496.617441535,47301476.855941534,65399272.5968765 
 07/08  02:51:00,11064701.57672619,225543.66621956977,3203184.3953332775,47461432.17208135,47301412.41058135,65399270.396104954 
 07/08  02:52:00,11064701.57672619,225798.18014499944,3203184.3953332775,47461369.24724956,47301349.485749565,65399388.28080283 
 07/08  02:53:00,11064701.57672619,225998.57114314876,3203184.3953332775,47461306.311684646,47301286.550184645,65399452.1054258 
 07/08  02:54:00,11064701.57672619,226444.47845142914,3203184.3953332775,47461225.42315143,47301205.66165143,65399743.54457483 
 07/08  02:55:00,11064701.57672619,226586.80705856325,3203184.3953332775,47460932.07923469,47300912.31773469,65399518.98534675 
 07/08  02:56:00,11064701.57672619,226774.27432335133,3203184.3953332775,47460601.34820783,47300581.58670783,65399302.28554561 
 07/08  02:57:00,11064701.57672619,226929.61137380704,3203184.3953332775,47460604.278355494,47300584.5168555,65399387.14376285 
 07/08  02:58:00,11064701.57672619,227329.62956222388,3203184.3953332775,47460602.73993851,47300582.97843851,65399712.26844967 
 07/08  02:59:00,11064701.57672619,227562.32847331028,3203184.3953332775,47460680.51228293,47300660.75078293,65399949.47174308 
 07/08  03:00:00,11064701.57672619,227675.2794929668,3203184.3953332775,47460777.74023545,47300757.97873545,65400086.44041313 
 07/08  03:01:00,11064701.57672619,227929.20610884784,3203184.3953332775,47460860.02049934,47300840.25899934,65400359.999582484 
 07/08  03:02:00,11064701.57672619,228316.28493139884,3203184.3953332775,47460942.30791867,47300922.54641867,65400766.753430046 
 07/08  03:03:00,11064701.57672619,228526.65719146328,3203184.3953332775,47461024.56671628,47301004.80521628,65400996.76933658 
 07/08  03:04:00,11064701.57672619,228685.4050456447,3203184.3953332775,47461103.838122815,47301084.076622814,65401172.18689903 
 07/08  03:05:00,11064701.57672619,229064.76902078072,3203184.3953332775,47461153.18910812,47301133.427608125,65401538.29325686 
 07/08  03:06:00,11064701.57672619,229205.86940656207,3203184.3953332775,47461205.51675139,47301185.75525139,65401669.12636535 
 07/08  03:07:00,11064701.57672619,229436.0406334791,3203184.3953332775,47461449.36299657,47301429.60149658,65402080.57742402 
 07/08  03:08:00,11064701.57672619,229963.73328537878,3203184.3953332775,47461793.46036249,47301773.698862486,65402889.780232206 
 07/08  03:09:00,11064701.57672619,229973.3658538772,3203184.3953332775,47461718.61458804,47301698.853088036,65402762.00251694 
 07/08  03:10:00,11064701.57672619,230379.2313682996,3203184.3953332775,47461995.40800037,47301975.64650037,65403382.08837544 
 07/08  03:11:00,11064701.57672619,230719.27107548332,3203184.3953332775,47461829.26612302,47301809.504623026,65403493.45180378 
 07/08  03:12:00,11064701.57672619,230775.30339694006,3203184.3953332775,47461709.49857306,47301689.73707306,65403367.15791283 
 07/08  03:13:00,11064701.57672619,231182.36851242825,3203184.3953332775,47461604.728799686,47301584.967299685,65403606.92412141 
 07/08  03:14:00,11064701.57672619,231448.35741437174,3203184.3953332775,47461499.96618174,47301480.20468174,65403705.61983487 
 07/08  03:15:00,11064701.57672619,231462.67635536834,3203184.3953332775,47461395.21071923,47301375.44921923,65403552.65142814 
 07/08  03:16:00,11064701.57672619,231935.09481869484,3203184.3953332775,47461294.91666592,47301275.15516592,65403862.242960416 
 07/08  03:17:00,11064701.57672619,232169.37377155796,3203184.3953332775,47461221.56279816,47301201.80129816,65403960.65901668 
 07/08  03:18:00,11064701.57672619,232391.16435512534,3203184.3953332775,47461190.11111541,47301170.34961541,65404088.508693546 
 07/08  03:19:00,11064701.57672619,232861.7592316883,3203184.3953332775,47461158.666588075,47301138.905088075,65404465.149716936 
 07/08  03:20:00,11064701.57672619,232980.91015270186,3203184.3953332775,47461166.16547638,47301146.40397638,65404529.32444741 
 07/08  03:21:00,11064701.57672619,233073.5222490481,3203184.3953332775,47461167.67884936,47301147.91734936,65404560.963988 
 07/08  03:22:00,11064701.57672619,233605.3094376365,3203184.3953332775,47461167.69316022,47301147.93166022,65405030.28392461 
 07/08  03:23:00,11064701.57672619,233816.24976135354,3203184.3953332775,47461167.707471065,47301147.945971064,65405178.797323436 
 07/08  03:24:00,11064701.57672619,234041.2361271185,3203184.3953332775,47461167.753981344,47301147.99248134,65405341.37908963 
 07/08  03:25:00,11064701.57672619,234200.93570202726,3203184.3953332775,47461167.79691392,47301148.03541392,65405438.67788235 
 07/08  03:26:00,11064701.57672619,234526.69342728733,3203184.3953332775,47461167.83269106,47301148.07119106,65405702.03502157 
 07/08  03:27:00,11064701.57672619,234890.53447146685,3203184.3953332775,47461167.86131276,47301148.09981276,65406003.482168004 
 07/08  03:28:00,11064701.57672619,235152.2874339602,3203184.3953332775,47461167.88277904,47301148.121279046,65406202.8447584 
 07/08  03:29:00,11064701.57672619,235292.46011436768,3203184.3953332775,47461167.864890486,47301148.103390485,65406280.59257107 
 07/08  03:30:00,11064701.57672619,235642.34156331737,3203184.3953332775,47461167.8470019,47301148.08550191,65406568.06810531 
 07/08  03:31:00,11064701.57672619,236016.90870426316,3203184.3953332775,47461167.79691392,47301148.03541392,65406880.182232164 
 07/08  03:32:00,11064701.57672619,236073.96665832907,3203184.3953332775,47461167.78260306,47301148.02110306,65406874.83523447 
 07/08  03:33:00,11064701.57672619,236376.0892594011,3203184.3953332775,47461167.736092776,47301147.974592775,65407114.57528916 
 07/08  03:34:00,11064701.57672619,236742.64443423031,3203184.3953332775,47461167.69673794,47301147.93523794,65407418.709741466 
 07/08  03:35:00,11064701.57672619,236953.35871329732,3203184.3953332775,47461167.66453851,47301147.90303851,65407567.05706885 
 07/08  03:36:00,11064701.57672619,237314.4621076184,3203184.3953332775,47461167.67169393,47301147.91019393,65407865.812070385 
 07/08  03:37:00,11064701.57672619,237467.83462217022,3203184.3953332775,47461167.68242707,47301147.92092707,65407956.90221984 
 07/08  03:38:00,11064701.57672619,237769.20831230725,3203184.3953332775,47461167.69673794,47301147.93523794,65408195.961701535 
 07/08  03:39:00,11064701.57672619,238020.29435469804,3203184.3953332775,47461167.67884936,47301147.91734936,65408384.73216129 
 07/08  03:40:00,11064701.57672619,238407.12686872628,3203184.3953332775,47461167.56794023,47301147.80644023,65408709.13549718 
 07/08  03:41:00,11064701.57672619,238633.8035088444,3203184.3953332775,47461153.976205185,47301134.214705184,65408859.95452992 
 07/08  03:42:00,11064701.57672619,238799.10637698826,3203184.3953332775,47460670.53046121,47300650.768961206,65408479.5210413 
 07/08  03:43:00,11064701.57672619,239085.89713131092,3203184.3953332775,47459917.71863891,47299897.95713891,65407951.24672252 
