Date/Time,Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep),IndoorLivingWall:InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](TimeStep) 
 01/01  01:00:00,613142581.6753479,103659167.33980997,380319636.50881594,2848152225.69,2838551040.0,4136840172.720976 
 01/01  02:00:00,306571290.83767396,95788220.61839144,382566209.7206508,2848152225.69,2838551040.0,3760163728.1286283 
 01/01  03:00:00,0.0,91123088.54066958,385297529.1554504,2848152225.69,2838551040.0,3387151666.828814 
 01/01  04:00:00,0.0,87562959.55382419,387898161.3065359,2848152225.69,2838551040.0,3386232251.2945457 
 01/01  05:00:00,0.0,82685043.54620354,390591442.3942431,2848152225.69,2838551040.0,3384120212.751553 
 01/01  06:00:00,0.0,74381232.02787249,393386846.6978841,2857753411.38,2838551040.0,3388426061.25079 
 01/01  07:00:00,0.0,67595721.74607143,395927150.92224514,2857753411.38,2838551040.0,3384301992.7672944 
 01/01  08:00:00,0.0,56669124.56553889,399059957.1422681,2896158154.14,2838551040.0,3415366560.4051514 
 01/01  09:00:00,0.0,21235823.52690824,362150041.7811111,172821342.42,0.0,695953500.0509169 
 01/01  10:00:00,0.0,0.0,407197345.05612886,3011372382.42,2838551040.0,3558316019.7990265 
 01/01  11:00:00,80018.1518466473,0.0,362232173.4845704,172821342.42,0.0,674799808.2274679 
 01/01  12:00:00,187259.38778109333,0.0,413826951.87979084,3011372382.42,2838551040.0,3564945626.6226883 
 01/01  13:00:00,200635.95092136093,0.0,403759565.04633516,3011372382.42,2838551040.0,3539810779.046393 
 01/01  14:00:00,255702.2423067631,0.0,409334037.806966,3011372382.42,2838551040.0,3560452712.5498633 
 01/01  15:00:00,297571.5641522838,0.0,410823146.1908561,3011372382.42,2838551040.0,3561941820.933754 
 01/01  16:00:00,284677.52568395657,0.0,412970629.7580017,3011372382.42,2838551040.0,3564089304.500899 
 01/01  17:00:00,242754.1647292764,0.0,362399207.909182,172821342.42,0.0,674966842.6520795 
 01/01  18:00:00,66323.48504157309,4363866.256277306,362218117.09502554,134416599.66000003,0.0,625677414.5913606 
 01/01  19:00:00,0.0,40404332.93384194,362150041.7811111,96011856.90000002,0.0,593110141.7093309 
 01/01  20:00:00,0.0,39189299.465591654,362150041.7811111,96011856.90000002,0.0,591895108.2410805 
