Date/Time,PLANTFACTORY_1F:CEA Evapotranspiration Rate [kg/m2-s](TimeStep),PLANTFACTORY_2F:CEA Evapotranspiration Rate [kg/m2-s](TimeStep),PLANTFACTORY_3F:CEA Evapotranspiration Rate [kg/m2-s](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep),IndoorLivingWall:InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](TimeStep) 
 07/08  00:01:00,0.000023436841787124317,0.000018835207188030314,0.000014269917803667703,8381540.724755768,282573.49182541936,1984852.4196214618,47469203.7615,47309184.0,60976161.77971005 
 07/08  00:02:00,0.000023174414434305916,0.00002015035250196164,0.000016723711769988783,8381540.724755768,285721.9333285673,1984852.4196214618,47469203.7615,47309184.0,60979563.32291457 
 07/08  00:03:00,0.000023132904872013752,0.00002175427492738089,0.000019988828603293834,8381540.724755768,286152.623381966,1984852.4196214618,47469203.7615,47309184.0,60980247.049420565 
 07/08  00:04:00,0.0000235017383613224,0.000022563584751673536,0.000021820932334947067,8381540.724755768,285785.28037362214,1984852.4196214618,47469203.7615,47309184.0,60980132.69852997 
 07/08  00:05:00,0.00002402980373375016,0.00002250675324152226,0.000021736844955795832,8381540.724755768,284635.4570808889,1984852.4196214618,47469203.7615,47309184.0,60979235.729526386 
 07/08  00:06:00,0.000024434810554126094,0.000022227313804728888,0.000020986948384151043,8381540.724755768,283310.9005988465,1984852.4196214618,47469203.7615,47309184.0,60978163.985058196 
 07/08  00:07:00,0.00002464379032336867,0.000022225737140803548,0.000020738789177383653,8381540.724755768,282056.7314199499,1984852.4196214618,47469203.7615,47309184.0,60977162.5185124 
 07/08  00:08:00,0.000024757953654939984,0.000022507171719379093,0.00002114114289578817,8381540.724755768,280550.0197728995,1984852.4196214618,47469203.7615,47309184.0,60975908.338997014 
 07/08  00:09:00,0.000024891659854230063,0.00002281248533696819,0.000021688089358357546,8381540.724755768,278909.7806427193,1984852.4196214618,47469203.7615,47309184.0,60974520.470850974 
 07/08  00:10:00,0.00002507417951219552,0.00002296657850138989,0.000021966721653970095,8381540.724755768,277258.1099085267,1984852.4196214618,47469203.7615,47309184.0,60973121.0269 
 07/08  00:11:00,0.00002526647250709465,0.00002299180560623393,0.000021971057190190165,8381540.724755768,275648.1092085313,1984852.4196214618,47469203.7615,47309184.0,60971763.02995348 
 07/08  00:12:00,0.00002542672140222338,0.00002299928666026647,0.00002191821121303854,8381540.724755768,273948.14532256825,1984852.4196214618,47469203.7615,47309184.0,60970314.87288325 
 07/08  00:13:00,0.000025547855210221194,0.000023054621577906336,0.000021959861950918356,8381540.724755768,272244.81689091853,1984852.4196214618,47469203.7615,47309184.0,60968863.11359449 
 07/08  00:14:00,0.000025648841867538734,0.000023144584130448307,0.000022085907624277645,8381540.724755768,270449.30127732,1984852.4196214618,47469203.7615,47309184.0,60967318.91361691 
 07/08  00:15:00,0.000025748094215853873,0.000023226204408450836,0.000022211376482804802,8381540.724755768,268590.0180323558,1984852.4196214618,47469203.7615,47309184.0,60965710.66038377 
 07/08  00:16:00,0.000025849375466866277,0.000023278163727903275,0.000022285630672204548,8381540.724755768,266557.3760664094,1984852.4196214618,47469203.7615,47309184.0,60963928.77523142 
 07/08  00:17:00,0.00002594611839832723,0.00002330957603381327,0.000022320115801707727,8381540.724755768,264692.3584121557,2000461.557307712,47469203.7615,47309184.0,60977923.33170009 
 07/08  00:18:00,0.00002597864859952926,0.000023338685171701998,0.000022349892601522154,8381540.724755768,262686.4933728583,2016384.2468812882,47469203.7615,47309184.0,60992090.19173549 
 07/08  00:19:00,0.000025968257819542428,0.0000233736298772875,0.000022393247783905655,8381540.724755768,260610.87630977415,2009536.960062919,47469203.7615,47309184.0,60983416.99702215 
 07/08  00:20:00,0.000025989854196997,0.00002341072611832655,0.00002244470448709253,8381540.724755768,258590.96511482817,2011678.0634649885,47469203.7615,47309184.0,60983787.55567863 
 07/08  00:21:00,0.00002601503804726975,0.000023443543736885563,0.000022491532055566758,8381540.724755768,256488.28948571024,2010648.0145131173,47469203.7615,47309184.0,60980903.76391804 
 07/08  00:22:00,0.000026027056922972703,0.000023469999912579468,0.000022528418340221356,8381540.724755768,254450.10615223076,2023709.7908610844,47469203.7615,47309184.0,60992175.84994253 
 07/08  00:23:00,0.000026025504670399497,0.00002346899172601214,0.000022514198119499693,8381540.724755768,252281.62900564066,2026269.3287556553,47469203.7615,47309184.0,60992814.9170465 
 07/08  00:24:00,0.0000260203238445668,0.00002346484481860507,0.000022521701472645653,8381540.724755768,250364.45095380343,2028215.4484782002,47469203.7615,47309184.0,60993091.441789135 
 07/08  00:25:00,0.000026020043200211872,0.000023478635354141143,0.000022548175866879075,8381540.724755768,248235.6131215741,2029844.3292668932,47469203.7615,47309184.0,60992838.59701926 
 07/08  00:26:00,0.00002602583186544367,0.000023495979961970056,0.000022575475629003542,8381540.724755768,246167.38247610166,2029902.3937707378,47469203.7615,47309184.0,60991074.98188234 
 07/08  00:27:00,0.000026033620583150274,0.000023506933362681826,0.000022592826254031923,8381540.724755768,244280.85089519923,2030029.5715621454,47469203.7615,47309184.0,60989561.57510742 
 07/08  00:28:00,0.000026039381417830936,0.00002351031472886151,0.00002260108353004945,8381540.724755768,242129.38353522084,2030882.6928260156,47469203.7615,47309184.0,60988508.700902134 
 07/08  00:29:00,0.0000260422714552145,0.000023510938138349062,0.000022607142468460944,8381540.724755768,240044.17658000422,2032230.4343748975,47469203.7615,47309184.0,60988016.08460072 
 07/08  00:30:00,0.00002604395928053677,0.000023513565421793923,0.00002261633353403968,8381540.724755768,238011.3358568738,2033544.5858184295,47469203.7615,47309184.0,60987541.622924216 
 07/08  00:31:00,0.000026046323422856802,0.000023519426162785924,0.00002262920477000375,8381540.724755768,236011.1064272979,2034519.807642171,47469203.7615,47309184.0,60986760.16118748 
 07/08  00:32:00,0.00002604990722152819,0.00002352677364477575,0.00002264315826148563,8381540.724755768,234096.83847903233,2035225.6819721581,47469203.7615,47309184.0,60985794.69288339 
 07/08  00:33:00,0.000026054070484914612,0.00002353344986288353,0.00002265577784465749,8381540.724755768,232128.68489284453,2035887.1358270915,47469203.7615,47309184.0,60984730.19154451 
 07/08  00:34:00,0.000026057958920124554,0.000023538674876918348,0.00002266654603234081,8381540.724755768,230109.83490064932,2036659.6999129122,47469203.7615,47309184.0,60983725.38853879 
 07/08  00:35:00,0.000026061263600942737,0.000023543051114766518,0.00002267642345150409,8381540.724755768,228226.70581623225,2037539.2265454296,47469203.7615,47309184.0,60982962.51294987 
 07/08  00:36:00,0.000026064226697425392,0.000023547555625921818,0.000022686495104916916,8381540.724755768,226143.60579671446,2038429.428711126,47469203.7615,47309184.0,60982009.54529841 
 07/08  00:37:00,0.000026067233754391738,0.00002355265712862125,0.00002269714177632487,8381540.724755768,224408.73293271806,2039259.150129874,47469203.7615,47309184.0,60981343.565709114 
