datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.090000,25.570000,-4.030000,0.510000,True,1
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.910000,29.630000,-3.960000,0.680000,True,1
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,41.580000,39.650000,-2.990000,1.060000,True,1
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,33.820000,32.430000,-2.270000,0.880000,True,1
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,34.070000,31.060000,-3.800000,0.780000,True,1
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,74.910000,63.680000,-12.700000,1.470000,True,1
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,27.750000,25.960000,-2.390000,0.600000,True,1
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.080000,29.140000,-0.750000,0.810000,True,1
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,22.920000,23.530000,-0.110000,0.720000,True,1
1/2/2024 5:00:00 AM,1/2/2024 12:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,20.950000,21.590000,0.000000,0.640000,True,1
1/2/2024 6:00:00 AM,1/2/2024 1:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,19.330000,19.900000,0.000000,0.570000,True,1
1/2/2024 7:00:00 AM,1/2/2024 2:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,19.750000,20.250000,0.000000,0.510000,True,1
1/2/2024 8:00:00 AM,1/2/2024 3:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,18.330000,18.690000,0.000000,0.360000,True,1
1/2/2024 9:00:00 AM,1/2/2024 4:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,18.340000,18.660000,0.000000,0.320000,True,1
1/2/2024 10:00:00 AM,1/2/2024 5:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,19.610000,19.760000,-0.040000,0.190000,True,1
1/2/2024 11:00:00 AM,1/2/2024 6:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,23.910000,23.970000,0.010000,0.060000,True,1
1/2/2024 12:00:00 PM,1/2/2024 7:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.410000,32.410000,0.030000,-0.030000,True,1
1/2/2024 1:00:00 PM,1/2/2024 8:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.820000,29.910000,0.020000,0.070000,True,1
1/2/2024 2:00:00 PM,1/2/2024 9:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.280000,29.170000,-0.190000,0.090000,True,1
1/2/2024 3:00:00 PM,1/2/2024 10:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,35.510000,34.630000,-1.320000,0.430000,True,1
1/2/2024 4:00:00 PM,1/2/2024 11:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,21.610000,22.030000,-0.110000,0.530000,True,1
1/2/2024 5:00:00 PM,1/2/2024 12:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,24.030000,24.540000,0.000000,0.510000,True,1
1/2/2024 6:00:00 PM,1/2/2024 1:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,24.710000,25.220000,0.000000,0.510000,True,1
