Date/Time,PV.Minute.PU,BAT.Minute.PU,baseline heating setpoint (C),baseline cooling setpoint (C),base LED intensity (-),smoothHtgSetC,smoothClgSetC,smoothLEDIntensity,clgMagnitude,htgMagnitude,ledMagnitude
 06/29  00:01:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:02:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:03:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:04:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:05:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:06:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:07:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:08:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:09:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:10:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:11:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:12:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:13:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:14:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:15:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:16:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:17:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:18:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:19:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:20:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:21:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:22:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:23:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:24:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:25:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:26:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:27:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:28:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:29:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:30:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:31:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:32:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:33:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:34:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:35:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
 06/29  00:36:00,1e-05,0.0,18,20,0.5,18.0,20.0,0.5,0.0,0.0,0.0
