Date/Time,PV.Minute.PU,BAT.Minute.PU,baseline heating setpoint (C),baseline cooling setpoint (C),base LED intensity (-)
 06/29  00:01:00,-0.0011411069853969,0.0,18,20,0.5
 06/29  00:02:00,-0.0011379458985275,-1.5805434346999585e-06,18,20,0.5
 06/29  00:03:00,-0.0011474367215445,5.273519721533254e-06,18,20,0.5
 06/29  00:04:00,-0.0011379610233451,-3.1516338584000776e-06,18,20,0.5
 06/29  00:05:00,-0.0011379610233451,-2.5213070867201055e-06,18,20,0.5
 06/29  00:06:00,-0.0011379685857539,-2.094787231600014e-06,18,20,0.5
 06/29  00:07:00,-0.0011379610233451,-1.8020139774858022e-06,18,20,0.5
 06/29  00:08:00,-0.0011379685857539,-1.5701451225999183e-06,18,20,0.5
 06/29  00:09:00,-0.0011379685857539,-1.3956845534221496e-06,18,20,0.5
 06/29  00:10:00,-0.0011379685857539,-1.256116098079978e-06,18,20,0.5
 06/29  00:11:00,-0.0011379685857539,-9.422761337797743e-07,18,20,0.5
 06/29  00:12:00,-0.0011379685857539,-9.445448564198659e-07,18,20,0.5
 06/29  00:13:00,-0.0011379610233451,-4.5374452801831555e-09,18,20,0.5
 06/29  00:14:00,-0.0011379610233451,-4.5374452801831555e-09,18,20,0.5
 06/29  00:15:00,-0.0011379610233451,-4.5374452801831555e-09,18,20,0.5
 06/29  00:16:00,-0.0011379610233451,-3.78120440015263e-09,18,20,0.5
 06/29  00:17:00,-0.0011379534609363,-1.0587372319993682e-08,18,20,0.5
 06/29  00:18:00,-0.0011379534609363,-9.07489056014947e-09,18,20,0.5
 06/29  00:19:00,-0.0011379610233451,-7.562408800305259e-10,18,20,0.5
 06/29  00:20:00,-0.0011379685857539,6.806167920057893e-09,18,20,0.5
 06/29  00:21:00,-0.0011379685857539,6.806167919841052e-09,18,20,0.5
 06/29  00:22:00,-0.0011379761481627,1.3612335839898945e-08,18,20,0.5
 06/29  00:23:00,-0.0011379837105714,1.8906021910123846e-08,18,20,0.5
 06/29  00:24:00,-0.0011379912729802,2.344346720006482e-08,18,20,0.5
 06/29  00:25:00,-0.0011379912729802,2.0418503689917378e-08,18,20,0.5
 06/29  00:26:00,-0.0011379912729802,1.7393540179986774e-08,18,20,0.5
 06/29  00:27:00,-0.0011379912729802,1.3612335790025645e-08,18,20,0.5
 06/29  00:28:00,-0.0011379837105714,3.0249634800066233e-09,18,20,0.5
 06/29  00:29:00,-0.0011727556661347,3.129551624782008e-05,18,20,0.5
 06/29  00:30:00,-0.0012075351841068,5.911837438462978e-05,18,20,0.5
 06/29  00:31:00,-0.0012644347477558,0.00010337132183344021,18,20,0.5
 06/29  00:32:00,-0.0012644423101646,9.073226804204998e-05,18,20,0.5
 06/29  00:33:00,-0.0011727707909523,-4.417959208339976e-06,18,20,0.5
 06/29  00:34:00,-0.0011569729190141,-2.2113995749929814e-05,18,20,0.5
 06/29  00:35:00,-0.0011538118321447,-2.6857138535779992e-05,18,20,0.5
 06/29  00:36:00,-0.0011569804814229,-2.558741010185014e-05,18,20,0.5
 06/29  00:37:00,-0.0011474972208147,-3.602126549350003e-05,18,20,0.5
 06/29  00:38:00,-0.0012992369529542,9.959314240771977e-05,18,20,0.5
 06/29  00:39:00,-0.0013276942971875,0.00011255662353573995,18,20,0.5
 06/29  00:40:00,-0.0013371775577957,0.0001090756467750499,18,20,0.5
 06/29  00:41:00,-0.001356144079012,0.00011887123486572994,18,20,0.5
 06/29  00:42:00,-0.0013687959888983,0.0001210877768786599,18,20,0.5
 06/29  00:43:00,-0.0014984081129521,0.0002181361687324801,18,20,0.5
 06/29  00:44:00,-0.0015173746341684,0.00020106251843334997,18,20,0.5
 06/29  00:45:00,-0.0015173746341684,0.00016470623823098,18,20,0.5
 06/29  00:46:00,-0.0015173746341684,0.00012866682295643015,18,20,0.5
 06/29  00:47:00,-0.0015173821965772,9.16858877889799e-05,18,20,0.5
 06/29  00:48:00,-0.0015173821965772,6.987136342668002e-05,18,20,0.5
 06/29  00:49:00,-0.0015173821965772,5.090257348771003e-05,18,20,0.5
 06/29  00:50:00,-0.0015173821965772,3.2882109609560064e-05,18,20,0.5
 06/29  00:51:00,-0.0015173821965772,1.675829785303994e-05,18,20,0.5
 06/29  00:52:00,-0.0015173821965772,1.8996770851499676e-06,18,20,0.5
 06/29  00:53:00,-0.0015173821965772,2.2687226400915778e-09,18,20,0.5
 06/29  00:54:00,-0.0015173821965772,1.5124817600610518e-09,18,20,0.5
 06/29  00:55:00,-0.0015173821965772,7.562408800305259e-10,18,20,0.5
 06/29  00:56:00,-0.0015173821965772,0.0,18,20,0.5
 06/29  00:57:00,-0.001517389758986,6.806167920057893e-09,18,20,0.5
 06/29  00:58:00,-0.001517389758986,6.049927040027367e-09,18,20,0.5
 06/29  00:59:00,-0.001517389758986,5.293686159996841e-09,18,20,0.5
 06/29  01:00:00,-0.001517389758986,4.5374452801831555e-09,18,20,0.5
 06/29  01:01:00,-0.001517389758986,3.78120440015263e-09,18,20,0.5
 06/29  01:02:00,-0.001517389758986,3.0249635201221037e-09,18,20,0.5
 06/29  01:03:00,-0.001517389758986,2.2687226398747373e-09,18,20,0.5
 06/29  01:04:00,-0.001517389758986,1.5124817600610518e-09,18,20,0.5
 06/29  01:05:00,-0.001517389758986,7.562408800305259e-10,18,20,0.5
 06/29  01:06:00,-0.001517389758986,0.0,18,20,0.5
 06/29  01:07:00,-0.001517389758986,0.0,18,20,0.5
 06/29  01:08:00,-0.0015142286721166,-2.8449781824598386e-06,18,20,0.5
 06/29  01:09:00,-0.0015142286721166,-2.528869495519977e-06,18,20,0.5
 06/29  01:10:00,-0.0015047454115084,-1.0747695355960065e-05,18,20,0.5
 06/29  01:11:00,-0.0015047454115084,-9.483260608199968e-06,18,20,0.5
 06/29  01:12:00,-0.0015047454115084,-8.218825860439871e-06,18,20,0.5
 06/29  01:13:00,-0.0015079064983778,-4.1094129302201524e-06,18,20,0.5
 06/29  01:14:00,-0.001517389758986,5.373847677979816e-06,18,20,0.5
 06/29  01:15:00,-0.001517389758986,5.373847677979816e-06,18,20,0.5
 06/29  01:16:00,-0.0015047529739172,-5.9992588839401315e-06,18,20,0.5
 06/29  01:17:00,-0.0015047529739172,-4.735580377060065e-06,18,20,0.5
 06/29  01:18:00,-0.0015174048838035,7.598708340549997e-06,18,20,0.5
 06/29  01:19:00,-0.0015174048838035,7.281087171860049e-06,18,20,0.5
 06/29  01:20:00,-0.0015142437969341,3.170161759890244e-06,18,20,0.5
 06/29  01:21:00,-0.0015174048838035,5.065301399779978e-06,18,20,0.5
 06/29  01:22:00,-0.0015174048838035,3.799354170270011e-06,18,20,0.5
 06/29  01:23:00,-0.0015174124462123,2.856321795620181e-06,18,20,0.5
 06/29  01:24:00,-0.0015174124462123,2.854053072990064e-06,18,20,0.5
 06/29  01:25:00,-0.0015174200086211,2.858590518280005e-06,18,20,0.5
 06/29  01:26:00,-0.0015174200086211,1.591887047890008e-06,18,20,0.5
