Date/Time,PV.Minute.PU,BAT.Minute.PU,baseline heating setpoint (C),baseline cooling setpoint (C),base LED intensity (-)
 06/29  01:27:00,-0.0015174351334387,3.3879591333991e-07,18,20,0.5
 06/29  01:28:00,-0.0015174502582562,3.493832855699149e-07,18,20,0.5
 06/29  01:29:00,-0.0015174653830738,3.584581761402559e-07,18,20,0.5
 06/29  01:30:00,-0.0015174805078913,4.9911897920034906e-08,18,20,0.5
 06/29  01:31:00,-0.0015175107575264,6.95741607301386e-08,18,20,0.5
 06/29  01:32:00,-0.0015175410071616,8.621146011986679e-08,18,20,0.5
 06/29  01:33:00,-0.0015175485695703,8.01615330202083e-08,18,20,0.5
 06/29  01:34:00,-0.0015175561319791,7.335536514004905e-08,18,20,0.5
 06/29  01:35:00,-0.0015175636943879,6.654919726010664e-08,18,20,0.5
 06/29  01:36:00,-0.0015175712567967,5.8986788499916856e-08,18,20,0.5
 06/29  01:37:00,-0.0015175863816142,5.8986788449826716e-08,18,20,0.5
 06/29  01:38:00,-0.0015176015064318,5.8986788490159037e-08,18,20,0.5
 06/29  01:39:00,-0.0015176090688406,5.2180620609999784e-08,18,20,0.5
 06/29  01:40:00,-0.0015176241936581,5.293686142996551e-08,18,20,0.5
 06/29  01:41:00,-0.0015176393184757,5.520558409998107e-08,18,20,0.5
 06/29  01:42:00,-0.0015176544432932,5.8986788440068896e-08,18,20,0.5
 06/29  01:43:00,-0.0015176771305196,6.881791990995603e-08,18,20,0.5
 06/29  01:44:00,-0.0015177073801547,8.394273745006807e-08,18,20,0.5
 06/29  01:45:00,-0.0015177073801547,6.957416077003724e-08,18,20,0.5
 06/29  01:46:00,-0.0015177149425635,6.276799289009483e-08,18,20,0.5
 06/29  01:47:00,-0.0015177376297898,7.033040163011844e-08,18,20,0.5
 06/29  01:48:00,-0.0015398879251019,1.999198384672004e-05,18,20,0.5
 06/29  01:49:00,-0.0015683603941527,4.33893203663101e-05,18,20,0.5
 06/29  01:50:00,-0.0015177754418337,-7.210756770250097e-06,18,20,0.5
 06/29  01:51:00,-0.0015494089977539,2.124583122213022e-05,18,20,0.5
 06/29  01:52:00,-0.0016094923354987,7.214537974637998e-05,18,20,0.5
 06/29  01:53:00,-0.0015873722898217,4.3055818139170086e-05,18,20,0.5
 06/29  01:54:00,-0.0015810501160829,3.0399370807549994e-05,18,20,0.5
 06/29  01:55:00,-0.0016126761095944,5.252849137507977e-05,18,20,0.5
 06/29  01:56:00,-0.0016158447588725,4.5884159022280095e-05,18,20,0.5
 06/29  01:57:00,-0.0015937171507868,1.6158598836880098e-05,18,20,0.5
 06/29  01:58:00,-0.0016221744950201,3.638728607836014e-05,18,20,0.5
 06/29  01:59:00,-0.0015557765459454,-2.8752278175609878e-05,18,20,0.5
 06/29  02:00:00,-0.0015241581148427,-6.1008976579209626e-05,18,20,0.5
 06/29  02:01:00,-0.0015178359411039,-6.417384465301013e-05,18,20,0.5
 06/29  02:02:00,-0.0015178359411039,-5.500820521353003e-05,18,20,0.5
 06/29  02:03:00,-0.0015178359411039,-4.805457034175002e-05,18,20,0.5
 06/29  02:04:00,-0.0015178283786951,-4.173995901177001e-05,18,20,0.5
 06/29  02:05:00,-0.0015178283786951,-3.225518592184012e-05,18,20,0.5
 06/29  02:06:00,-0.0015178283786951,-2.2453547904100098e-05,18,20,0.5
 06/29  02:07:00,-0.0015178283786951,-1.4864670694929999e-05,18,20,0.5
 06/29  02:08:00,-0.0015178359411039,-4.423252894509948e-06,18,20,0.5
 06/29  02:09:00,-0.0015178359411039,-6.291924103600348e-07,18,20,0.5
 06/29  02:10:00,-0.0015178359411039,3.0249635201221037e-09,18,20,0.5
 06/29  02:11:00,-0.0015178359411039,3.0249635201221037e-09,18,20,0.5
 06/29  02:12:00,-0.0015178435035127,9.831131439963156e-09,18,20,0.5
 06/29  02:13:00,-0.0015178435035127,9.07489055993263e-09,18,20,0.5
 06/29  02:14:00,-0.0015178435035127,7.562408800088419e-09,18,20,0.5
 06/29  02:15:00,-0.0015178435035127,6.049927040027367e-09,18,20,0.5
 06/29  02:16:00,-0.0015178435035127,4.5374452801831555e-09,18,20,0.5
 06/29  02:17:00,-0.0015178435035127,3.0249635199052632e-09,18,20,0.5
 06/29  02:18:00,-0.0015178435035127,2.2687226398747373e-09,18,20,0.5
 06/29  02:19:00,-0.0015178435035127,1.5124817600610518e-09,18,20,0.5
 06/29  02:20:00,-0.0015210045903821,2.845734423340086e-06,18,20,0.5
 06/29  02:21:00,-0.0015178435035127,-3.1610868694007845e-07,18,20,0.5
 06/29  02:22:00,-0.0015178435035127,-3.1610868694007845e-07,18,20,0.5
 06/29  02:23:00,-0.0015178435035127,-3.1610868694007845e-07,18,20,0.5
 06/29  02:24:00,-0.0015178435035127,-3.1610868694007845e-07,18,20,0.5
 06/29  02:25:00,-0.0015178435035127,-3.1610868694007845e-07,18,20,0.5
 06/29  02:26:00,-0.0015178510659215,-3.0930251902002055e-07,18,20,0.5
 06/29  02:27:00,-0.0015178586283302,-3.032525920701988e-07,18,20,0.5
 06/29  02:28:00,-0.001517866190739,-2.9795890590001047e-07,18,20,0.5
 06/29  02:29:00,-0.0015178813155566,-2.866152926900116e-07,18,20,0.5
 06/29  02:30:00,-0.0015178964403741,3.9324525609799044e-08,18,20,0.5
 06/29  02:31:00,-0.0015179040027829,4.0837007390026256e-08,18,20,0.5
 06/29  02:32:00,-0.0015179040027829,3.478708037016505e-08,18,20,0.5
 06/29  02:33:00,-0.0015179115651917,3.5543321269928055e-08,18,20,0.5
 06/29  02:34:00,-0.0015179191276005,3.5543321290094215e-08,18,20,0.5
 06/29  02:35:00,-0.001517934252418,4.159324826008212e-08,18,20,0.5
 06/29  02:36:00,-0.0015179493772356,4.688693445000294e-08,18,20,0.5
 06/29  02:37:00,-0.0015179645020531,5.14243796599298e-08,18,20,0.5
 06/29  02:38:00,-0.0015179720644619,4.8399416169948514e-08,18,20,0.5
 06/29  02:39:00,-0.0015179871892795,5.293686147983881e-08,18,20,0.5
 06/29  02:40:00,-0.0015179947516883,5.066813885991339e-08,18,20,0.5
 06/29  02:41:00,-0.001518002314097,4.8399416149999194e-08,18,20,0.5
 06/29  02:42:00,-0.0015148487896364,-2.7996037298000376e-06,18,20,0.5
 06/29  02:43:00,-0.0015180174389146,3.5845817611011507e-07,18,20,0.5
 06/29  02:44:00,-0.0014990509176983,-1.672124204997005e-05,18,20,0.5
 06/29  02:45:00,-0.0014611103128568,-4.8979452935350026e-05,18,20,0.5
 06/29  02:46:00,-0.0015180401261409,7.94128545822002e-06,18,20,0.5
 06/29  02:47:00,-0.0014895827819076,-1.767788676052982e-05,18,20,0.5
 06/29  02:48:00,-0.0015117255148109,5.089501107870048e-06,18,20,0.5
 06/29  02:49:00,-0.0015085644279415,2.8706903722698542e-06,18,20,0.5
 06/29  02:50:00,-0.0015054033410721,9.687445644899866e-07,18,20,0.5
 06/29  02:51:00,-0.0015180628133673,1.3622166932660213e-05,18,20,0.5
 06/29  02:52:00,-0.0015180628133673,1.3300764559569895e-05,18,20,0.5
 06/29  02:53:00,-0.001518070375776,1.3303033282129973e-05,18,20,0.5
 06/29  02:54:00,-0.0015244001119236,1.7097850007199815e-05,18,20,0.5
 06/29  02:55:00,-0.0015813299252077,6.200570205621e-05,18,20,0.5
 06/29  02:56:00,-0.0015971429219635,6.990841922975013e-05,18,20,0.5
 06/29  02:57:00,-0.0015307298480712,-6.19361278910097e-07,18,20,0.5
 06/29  02:58:00,-0.0015338909349405,3.251835774299716e-07,18,20,0.5
 06/29  02:59:00,-0.0015180779381848,-1.6439164202599905e-05,18,20,0.5
 06/29  03:00:00,-0.0015149168513154,-2.0551602096329988e-05,18,20,0.5
 06/29  03:01:00,-0.0015180779381848,-1.739202770867994e-05,18,20,0.5
 06/29  03:02:00,-0.0015180779381848,-1.7393540190430027e-05,18,20,0.5
 06/29  03:03:00,-0.0015180855005936,-1.7387490263390216e-05,18,20,0.5
 06/29  03:04:00,-0.0015180855005936,-1.675602913039009e-05,18,20,0.5
 06/29  03:05:00,-0.0015180855005936,-1.0431586668980088e-05,18,20,0.5
 06/29  03:06:00,-0.0015086022399854,-1.1060779079370047e-05,18,20,0.5
 06/29  03:07:00,-0.0014611632497183,-5.154310951117989e-05,18,20,0.5
 06/29  03:08:00,-0.0014295372562068,-7.273373514931009e-05,18,20,0.5
 06/29  03:09:00,-0.0015180930630024,1.582055916452994e-05,18,20,0.5
 06/29  03:10:00,-0.0014358594299456,-5.8507331755289866e-05,18,20,0.5
 06/29  03:11:00,-0.0015307525352975,3.511831388534003e-05,18,20,0.5
 06/29  03:12:00,-0.0015212692746893,2.531591962669005e-05,18,20,0.5
 06/29  03:13:00,-0.0015181006254112,2.2145757866829947e-05,18,20,0.5
 06/29  03:14:00,-0.0015181006254112,2.2144245385070102e-05,18,20,0.5
 06/29  03:15:00,-0.0015181006254112,2.214273290331004e-05,18,20,0.5
 06/29  03:16:00,-0.0015181081878199,2.119970052856003e-05,18,20,0.5
 06/29  03:17:00,-0.0015181081878199,1.550520671840007e-05,18,20,0.5
 06/29  03:18:00,-0.0015181081878199,6.648113557090104e-06,18,20,0.5
 06/29  03:19:00,-0.0015181081878199,6.6466010753400175e-06,18,20,0.5
 06/29  03:20:00,-0.0015181006254112,-1.58508087991986e-06,18,20,0.5
 06/29  03:21:00,-0.0015181006254112,-3.198898912899241e-07,18,20,0.5
 06/29  03:22:00,-0.0015181006254112,-3.0249634800066233e-09,18,20,0.5
 06/29  03:23:00,-0.0015181006254112,-3.0249634800066233e-09,18,20,0.5
 06/29  03:24:00,-0.0015180930630024,-9.831131399847676e-09,18,20,0.5
 06/29  03:25:00,-0.0015180930630024,-9.07489052003399e-09,18,20,0.5
 06/29  03:26:00,-0.0015180930630024,-7.562408769947598e-09,18,20,0.5
 06/29  03:27:00,-0.0015180930630024,-6.0499270198612065e-09,18,20,0.5
 06/29  03:28:00,-0.0015180930630024,-4.537445269774815e-09,18,20,0.5
 06/29  03:29:00,-0.0015181006254112,3.781204399935789e-09,18,20,0.5
 06/29  03:30:00,-0.0015181006254112,3.781204399935789e-09,18,20,0.5
 06/29  03:31:00,-0.0015181081878199,1.0587372230004902e-08,18,20,0.5
 06/29  03:32:00,-0.0015181006254112,3.0249635298799232e-09,18,20,0.5
 06/29  03:33:00,-0.0015181081878199,9.831131359949036e-09,18,20,0.5
 06/29  03:34:00,-0.0015181081878199,8.318649609862644e-09,18,20,0.5
 06/29  03:35:00,-0.0015181081878199,6.8061678599930925e-09,18,20,0.5
 06/29  03:36:00,-0.0015181006254112,-1.5124817201624119e-09,18,20,0.5
 06/29  03:37:00,-0.0015181006254112,-2.2687225999760974e-09,18,20,0.5
 06/29  03:38:00,-0.0015181006254112,-3.0249634800066233e-09,18,20,0.5
 06/29  03:39:00,-0.0015181081878199,3.781204350062489e-09,18,20,0.5
 06/29  03:40:00,-0.0015181308750463,2.344346723996346e-08,18,20,0.5
 06/29  03:41:00,-0.0015212995243244,2.8729590948899965e-06,18,20,0.5
 06/29  03:42:00,-0.0016320056264321,0.00010218856110049985,18,20,0.5
 06/29  03:43:00,-0.0017079246481589,0.0001591259367934,18,20,0.5
 06/29  03:44:00,-0.0017079170857501,0.00014013748459158,18,20,0.5
 06/29  03:45:00,-0.0017079095233413,0.00012114978863064004,18,20,0.5
 06/29  03:46:00,-0.0016984187003244,9.362715812241988e-05,18,20,0.5
 06/29  03:47:00,-0.0016320056264321,1.5823584128029896e-05,18,20,0.5
 06/29  03:48:00,-0.0015466033440971,-7.242897007556028e-05,18,20,0.5
 06/29  03:49:00,-0.0017079095233413,6.989707561650001e-05,18,20,0.5
 06/29  03:50:00,-0.0017047559988807,4.8081038772460234e-05,18,20,0.5
 06/29  03:51:00,-0.0016415115742666,-2.7184590835859813e-05,18,20,0.5
 06/29  03:52:00,-0.0015719147262786,-9.07723488085101e-05,18,20,0.5
 06/29  03:53:00,-0.0015181535622726,-0.00012555640422587996,18,20,0.5
 06/29  03:54:00,-0.0015181611246814,-0.00010657324571020999,18,20,0.5
 06/29  03:55:00,-0.0015181686870902,-8.759159967630008e-05,18,20,0.5
 06/29  03:56:00,-0.0015181762494989,-6.955979218505005e-05,18,20,0.5
 06/29  03:57:00,-0.0016130617924421,2.7220134157149908e-05,18,20,0.5
 06/29  03:58:00,-0.0016794899911519,8.035966816147028e-05,18,20,0.5
 06/29  03:59:00,-0.0017079624602028,0.00010882684352622003,18,20,0.5
 06/29  04:00:00,-0.0017079624602028,0.00010850619739401018,18,20,0.5
 06/29  04:01:00,-0.0017016327240552,9.616434626754993e-05,18,20,0.5
 06/29  04:02:00,-0.0016794899911519,6.326408687692031e-05,18,20,0.5
 06/29  04:03:00,-0.0016478639976405,1.866704982872989e-05,18,20,0.5
 06/29  04:04:00,-0.0015498098054192,-8.255201046635007e-05,18,20,0.5
 06/29  04:05:00,-0.0015213600235947,-0.00011132092594130002,18,20,0.5
 06/29  04:06:00,-0.0015213675860034,-0.0001116324971830499,18,20,0.5
 06/29  04:07:00,-0.0015182216239516,-0.0001052944423858,18,20,0.5
 06/29  04:08:00,-0.0015182216239516,-8.916760566576995e-05,18,20,0.5
 06/29  04:09:00,-0.0015150605370822,-7.303850022310999e-05,18,20,0.5
 06/29  04:10:00,-0.0013853879137582,-0.00017045366890264995,18,20,0.5
 06/29  04:11:00,-0.0013284505380653,-0.0001900728259965601,18,20,0.5
 06/29  04:12:00,-0.0013284656628829,-0.00015495526835205978,18,20,0.5
 06/29  04:13:00,-0.0013284656628829,-0.00012301543487629987,18,20,0.5
 06/29  04:14:00,-0.0013221434891441,-0.00010657097698758985,18,20,0.5
 06/29  04:15:00,-0.0011987854771501,-0.00019767153433713027,18,20,0.5
 06/29  04:16:00,-0.0012588763773036,-0.00011133151331364994,18,20,0.5
 06/29  04:17:00,-0.0013031618431102,-4.5540069422910076e-05,18,20,0.5
 06/29  04:18:00,-0.0013253045760135,-4.1056317258000505e-06,18,20,0.5
 06/29  04:19:00,-0.001299993193832,-7.910279582279932e-06,18,20,0.5
 06/29  04:20:00,-0.0011513389244742,-0.0001331596500116802,18,20,0.5
 06/29  04:21:00,-0.0010785885520255,-0.00018092382385639992,18,20,0.5
 06/29  04:22:00,-0.0009489083662928,-0.0002726482799300903,18,20,0.5
 06/29  04:23:00,-0.000904630462895,-0.0002745426633291001,18,20,0.5
 06/29  04:24:00,-0.0007622983672759,-0.00036089024676138,18,20,0.5
 06/29  04:25:00,-0.0007591372804065,-0.0003200865139564199,18,20,0.5
 06/29  04:26:00,-0.0006262914703591,-0.00038967383330936985,18,20,0.5
 06/29  04:27:00,-0.0005693578758706,-0.00037322703107391,18,20,0.5
 06/29  04:28:00,-0.0005693593883523,-0.00029763099982609,18,20,0.5
 06/29  04:29:00,-0.0004586510175221,-0.00032420515302529994,18,20,0.5
 06/29  04:30:00,-0.0002941701390726,-0.00040296915293464003,18,20,0.5
 06/29  04:31:00,-0.0001897877231855,-0.0004184714859377401,18,20,0.5
 06/29  04:32:00,-0.0001455037698607,-0.0003824149796193301,18,20,0.5
 06/29  04:33:00,3.795724214076668e-05,-0.00047161722111722,18,20,0.5
 06/29  04:34:00,0.0002182556547911,-0.0005538602315608534,18,20,0.5
 06/29  04:35:00,0.0004365120658232,-0.0006525517079699833,18,20,0.5
 06/29  04:36:00,0.000632624987711,-0.0007227729840507734,18,20,0.5
 06/29  04:37:00,0.0008413936006896,-0.0007904664493733534,18,20,0.5
 06/29  04:38:00,0.0010216965507853,-0.0008116638055552934,18,20,0.5
 06/29  04:39:00,0.0012526071404263,-0.0008714485794014533,18,20,0.5
 06/29  04:40:00,0.0014297565660614,-0.0008762053345231533,18,20,0.5
 06/29  04:41:00,0.0016859861002926,-0.0009448574864065433,18,20,0.5
 06/29  04:42:00,0.0018441614423026,-0.0009040663072002133,18,20,0.5
 06/29  04:43:00,0.0020814017680911,-0.0009369621803936798,18,20,0.5
 06/29  04:44:00,0.002362935122095,-0.0010040275876671899,18,20,0.5
 06/29  04:45:00,0.0026159960070481,-0.0010391400784978,18,20,0.5
 06/29  04:46:00,0.002831108724751,-0.0010344044224967,18,20,0.5
 06/29  04:47:00,0.0028817163642963,-0.0008809797856813299,18,20,0.5
 06/29  04:48:00,0.003217018444715,-0.00099674967670706,18,20,0.5
 06/29  04:49:00,0.0037199715653429,-0.0012529663548433,18,20,0.5
 06/29  04:50:00,0.0043114956175841,-0.0015563165019322296,18,20,0.5
 06/29  04:51:00,0.0045550505547026,-0.0015129649936097304,18,20,0.5
 06/29  04:52:00,0.0046594269206627,-0.0013358148117338202,18,20,0.5
 06/29  04:53:00,0.0047448292029977,-0.0011548743505781604,18,20,0.5
 06/29  04:54:00,0.0047290086438332,-0.0009024464392398397,18,20,0.5
 06/29  04:55:00,0.0047321848555201,-0.0006940037660795395,18,20,0.5
 06/29  04:56:00,0.0048270855232808,-0.0005893067539872593,18,20,0.5
 06/29  04:57:00,0.0051782232876815,-0.0007107938260494402,18,20,0.5
 06/29  04:58:00,0.0055704854310194,-0.0008677092707568999,18,20,0.5
 06/29  04:59:00,0.0061209077915497,-0.0011780380086665208,18,20,0.5
 06/29  05:00:00,0.0067883962399703,-0.0015978363948485003,18,20,0.5
 06/29  05:01:00,0.0074147376222274,-0.0019382090703531198,18,20,0.5
 06/29  05:02:00,0.0078196819250867,-0.0020271278727700204,18,20,0.5
 06/29  05:03:00,0.0079715350933579,-0.0018563104520051997,18,20,0.5
 06/29  05:04:00,0.007949377235637,-0.00151211573510392,18,20,0.5
 06/29  05:05:00,0.0076204124537747,-0.0008943281934161596,18,20,0.5
 06/29  05:06:00,0.0070004310573003,-5.701224353981023e-05,18,20,0.5
 06/29  05:07:00,0.0062033002351909,0.0008426262733205302,18,20,0.5
 06/29  05:08:00,0.0055643371926826,0.001480974491995149,18,20,0.5
 06/29  05:09:00,0.0053365876899109,0.0016302919846029702,18,20,0.5
 06/29  05:10:00,0.0053872028918651,0.0014395574478382502,18,20,0.5
 06/29  05:11:00,0.0055042387301203,0.001131471720372341,18,20,0.5
 06/29  05:12:00,0.0055073846921721,0.0008970960350290803,18,20,0.5
 06/29  05:13:00,0.0056845114305808,0.0004912669303426698,18,20,0.5
 06/29  05:14:00,0.0055801123773944,0.00035873949770480994,18,20,0.5
 06/29  05:15:00,0.0054187835109238,0.00029990546989031985,18,20,0.5
 06/29  05:16:00,0.0053396958399189,0.00021291961915707956,18,20,0.5
 06/29  05:17:00,0.00550417823085,-2.1474972208110517e-05,18,20,0.5
 06/29  05:18:00,0.0056560011494861,-0.00016413149516385922,18,20,0.5
 06/29  05:19:00,0.0059976178412347,-0.0004396451717800804,18,20,0.5
 06/29  05:20:00,0.0063012636785068,-0.0006518849303880098,18,20,0.5
 06/29  05:21:00,0.0064593936460641,-0.0007144994063509299,18,20,0.5
 06/29  05:22:00,0.0064625320457071,-0.0006221230706404306,18,20,0.5
 06/29  05:23:00,0.0064498423237769,-0.0005329002593906194,18,20,0.5
 06/29  05:24:00,0.0062663480371768,-0.00028078240681227943,18,20,0.5
 06/29  05:25:00,0.0058582728970831,0.00017124167189735019,18,20,0.5
 06/29  05:26:00,0.0052034741705928,0.0008124182314550397,18,20,0.5
 06/29  05:27:00,0.0046846929283915,0.0012492509434104907,18,20,0.5
 06/29  05:28:00,0.0046878388904433,0.0011492887554544091,18,20,0.5
 06/29  05:29:00,0.0050484372282259,0.0006937723563709298,18,20,0.5
 06/29  05:30:00,0.0054533134694062,0.00020410109428057027,18,20,0.5
 06/29  05:31:00,0.0057632966052347,-0.00017549174563087026,18,20,0.5
 06/29  05:32:00,0.0057601203935477,-0.00024255669915980958,18,20,0.5
 06/29  05:33:00,0.0058075366965885,-0.00035420356491944974,18,20,0.5
 06/29  05:34:00,0.0065919399847239,-0.0011060476583001399,18,20,0.5
 06/29  05:35:00,0.0073320426822351,-0.0016987733772961403,18,20,0.5
 06/29  05:36:00,0.007275112868951,-0.0014346796941762194,18,20,0.5
 06/29  05:37:00,0.0066140297807657,-0.0005806629207534995,18,20,0.5
 06/29  05:38:00,0.0059909099846483,0.00017276398478440012,18,20,0.5
 06/29  05:39:00,0.0056935787587062,0.0005346093637745306,18,20,0.5
 06/29  05:40:00,0.005693586321115,0.0005586290865366101,18,20,0.5
 06/29  05:41:00,0.0056935636338886,0.0005516784766283998,18,20,0.5
 06/29  05:42:00,0.0056935409466623,0.0005450432191661594,18,20,0.5
 06/29  05:43:00,0.0056018316154061,0.0006161820423041201,18,20,0.5
 06/29  05:44:00,0.0055037396111409,0.00060545400921102,18,20,0.5
 06/29  05:45:00,0.0052507014134142,0.000650358080055629,18,20,0.5
 06/29  05:46:00,0.0051241898769596,0.00056177731731109,18,20,0.5
