Time,NGA VAV:DesPer 1:Des Heat Mass Flow [kg/s],NGA VAV:DesPer 1:Des Heat Cap [W],NGA VAV:DesPer 1:Des Cool Mass Flow [kg/s],NGA VAV:DesPer 1:Des Sens Cool Cap [W],NGA VAV:DesPer 1:Des Tot Cool Cap [W],NGA VAV:DesPer 2:Des Heat Mass Flow [kg/s],NGA VAV:DesPer 2:Des Heat Cap [W],NGA VAV:DesPer 2:Des Cool Mass Flow [kg/s],NGA VAV:DesPer 2:Des Sens Cool Cap [W],NGA VAV:DesPer 2:Des Tot Cool Cap [W],GA1F VAV:DesPer 1:Des Heat Mass Flow [kg/s],GA1F VAV:DesPer 1:Des Heat Cap [W],GA1F VAV:DesPer 1:Des Cool Mass Flow [kg/s],GA1F VAV:DesPer 1:Des Sens Cool Cap [W],GA1F VAV:DesPer 1:Des Tot Cool Cap [W],GA1F VAV:DesPer 2:Des Heat Mass Flow [kg/s],GA1F VAV:DesPer 2:Des Heat Cap [W],GA1F VAV:DesPer 2:Des Cool Mass Flow [kg/s],GA1F VAV:DesPer 2:Des Sens Cool Cap [W],GA1F VAV:DesPer 2:Des Tot Cool Cap [W],GA2F VAV:DesPer 1:Des Heat Mass Flow [kg/s],GA2F VAV:DesPer 1:Des Heat Cap [W],GA2F VAV:DesPer 1:Des Cool Mass Flow [kg/s],GA2F VAV:DesPer 1:Des Sens Cool Cap [W],GA2F VAV:DesPer 1:Des Tot Cool Cap [W],GA2F VAV:DesPer 2:Des Heat Mass Flow [kg/s],GA2F VAV:DesPer 2:Des Heat Cap [W],GA2F VAV:DesPer 2:Des Cool Mass Flow [kg/s],GA2F VAV:DesPer 2:Des Sens Cool Cap [W],GA2F VAV:DesPer 2:Des Tot Cool Cap [W],GA3F VAV:DesPer 1:Des Heat Mass Flow [kg/s],GA3F VAV:DesPer 1:Des Heat Cap [W],GA3F VAV:DesPer 1:Des Cool Mass Flow [kg/s],GA3F VAV:DesPer 1:Des Sens Cool Cap [W],GA3F VAV:DesPer 1:Des Tot Cool Cap [W],GA3F VAV:DesPer 2:Des Heat Mass Flow [kg/s],GA3F VAV:DesPer 2:Des Heat Cap [W],GA3F VAV:DesPer 2:Des Cool Mass Flow [kg/s],GA3F VAV:DesPer 2:Des Sens Cool Cap [W],GA3F VAV:DesPer 2:Des Tot Cool Cap [W]
01:00:00,6.481121E-01,1.980893E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,3.217923E+03,5.270514E-01,5.952840E+02,6.134023E+03,1.200181E-02,4.510485E+02,5.130746E+00,3.663554E+04,6.233332E+04,1.200181E-02,7.327728E+01,1.161875E+01,8.395733E+04,9.421957E+04,1.199022E-02,4.506130E+02,1.338880E+01,9.639384E+04,1.064583E+05,1.199022E-02,7.320655E+01,2.232128E+01,1.613684E+05,1.731532E+05,1.199022E-02,4.506130E+02,8.431794E+00,6.055550E+04,5.903911E+04,1.199022E-02,7.320655E+01,2.114652E+01,1.528544E+05,1.677884E+05
02:00:00,6.483007E-01,1.980893E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,3.539927E+03,5.270514E-01,2.732799E+02,5.165169E+03,1.200181E-02,4.510485E+02,9.232459E+00,6.626990E+04,7.028968E+04,1.200181E-02,8.060984E+01,1.576171E+01,1.139099E+05,1.212940E+05,1.199022E-02,4.506130E+02,1.684824E+01,1.214152E+05,1.266433E+05,1.199022E-02,8.053202E+01,2.572659E+01,1.859871E+05,1.958494E+05,1.199022E-02,4.506130E+02,1.291174E+01,9.296936E+04,9.357628E+04,1.199022E-02,8.053202E+01,2.559389E+01,1.850049E+05,1.965603E+05
03:00:00,6.484077E-01,1.980888E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,3.781431E+03,5.270514E-01,3.177673E+01,4.453933E+03,1.200181E-02,4.510485E+02,1.393633E+01,1.002580E+05,1.053291E+05,1.200181E-02,8.610925E+01,2.050595E+01,1.482134E+05,1.570923E+05,1.199022E-02,4.506130E+02,2.111725E+01,1.522935E+05,1.585015E+05,1.199022E-02,8.602612E+01,2.999212E+01,2.168304E+05,2.276392E+05,1.199022E-02,4.506130E+02,1.866000E+01,1.345597E+05,1.356930E+05,1.199022E-02,8.602612E+01,3.129106E+01,2.261972E+05,2.386238E+05
04:00:00,6.483683E-01,1.980883E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,4.022934E+03,5.270514E-01,0.000000E+00,3.755540E+03,1.200181E-02,4.510485E+02,1.890672E+01,1.361718E+05,1.429277E+05,1.200181E-02,9.160866E+01,2.555059E+01,1.846897E+05,1.954077E+05,1.199022E-02,4.506130E+02,2.596433E+01,1.873539E+05,1.948115E+05,1.199022E-02,9.152023E+01,3.486669E+01,2.520788E+05,2.642293E+05,1.199022E-02,4.506130E+02,2.489430E+01,1.796666E+05,1.812952E+05,1.199022E-02,9.152023E+01,3.751389E+01,2.711922E+05,2.853612E+05
05:00:00,6.482507E-01,1.980880E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,4.183936E+03,5.270514E-01,0.000000E+00,3.296921E+03,1.200181E-02,4.510485E+02,2.409776E+01,1.736774E+05,1.821893E+05,1.200181E-02,9.527494E+01,3.085288E+01,2.230304E+05,2.357101E+05,1.199022E-02,4.506130E+02,3.134324E+01,2.262611E+05,2.350939E+05,1.199022E-02,9.518297E+01,4.030102E+01,2.913770E+05,3.050722E+05,1.199022E-02,4.506130E+02,3.161881E+01,2.283205E+05,2.304800E+05,1.199022E-02,9.518297E+01,4.425673E+01,3.199499E+05,3.361477E+05
06:00:00,6.480494E-01,1.980877E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,4.022934E+03,5.270514E-01,0.000000E+00,3.755540E+03,1.200181E-02,4.510485E+02,2.946085E+01,2.124690E+05,2.227853E+05,1.200181E-02,9.160866E+01,3.637499E+01,2.629666E+05,2.776895E+05,1.199022E-02,4.506130E+02,3.719456E+01,2.685858E+05,2.789097E+05,1.199022E-02,9.152023E+01,4.623810E+01,3.343173E+05,3.496961E+05,1.199022E-02,4.506130E+02,3.876568E+01,2.800306E+05,2.827589E+05,1.199022E-02,9.152023E+01,5.147061E+01,3.721206E+05,3.906074E+05
07:00:00,6.478000E-01,1.980876E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,3.459426E+03,5.270514E-01,3.537809E+02,5.405157E+03,1.200181E-02,4.510485E+02,3.064949E+01,2.211771E+05,2.317757E+05,1.200181E-02,7.877670E+01,3.779237E+01,2.732329E+05,2.885619E+05,1.199022E-02,4.506130E+02,3.916860E+01,2.828662E+05,2.935304E+05,1.199022E-02,7.870065E+01,4.833103E+01,3.494677E+05,3.654589E+05,1.199022E-02,4.506130E+02,4.199173E+01,3.033721E+05,3.063801E+05,1.199022E-02,7.870065E+01,5.482866E+01,3.964215E+05,4.167326E+05
08:00:00,6.474855E-01,1.980884E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.090909E+03,5.308246E-01,1.762469E+03,7.735218E+03,1.200181E-02,4.510485E+02,3.168700E+01,2.287198E+05,2.395607E+05,1.200181E-02,4.761335E+01,3.884284E+01,2.808633E+05,2.966735E+05,1.199022E-02,4.506130E+02,4.081063E+01,2.947424E+05,3.056673E+05,1.199022E-02,4.756739E+01,5.004419E+01,3.618892E+05,3.784331E+05,1.199022E-02,4.506130E+02,4.399730E+01,3.178828E+05,3.210758E+05,1.199022E-02,4.756739E+01,5.688262E+01,4.113096E+05,4.328685E+05
09:00:00,6.471914E-01,1.980894E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,5.613889E+02,5.409658E-01,3.401685E+03,9.523898E+03,1.200181E-02,4.510485E+02,3.234142E+01,2.334585E+05,2.444542E+05,1.200181E-02,1.278373E+01,3.955123E+01,2.860197E+05,3.020223E+05,1.199022E-02,4.506130E+02,4.217195E+01,3.045851E+05,3.157686E+05,1.199022E-02,1.277139E+01,5.147037E+01,3.722362E+05,3.890655E+05,1.199022E-02,4.506130E+02,4.520766E+01,3.266407E+05,3.299452E+05,1.199022E-02,1.277139E+01,5.827436E+01,4.214066E+05,4.433930E+05
10:00:00,6.469920E-01,1.980907E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,0.000000E+00,5.514501E-01,4.886385E+03,1.112117E+04,1.200181E-02,4.510485E+02,3.290573E+01,2.375381E+05,2.486390E+05,1.200181E-02,0.000000E+00,4.017742E+01,2.905778E+05,3.066856E+05,1.199022E-02,4.506130E+02,4.341831E+01,3.135956E+05,3.249657E+05,1.199022E-02,0.000000E+00,5.279381E+01,3.818365E+05,3.988623E+05,1.199022E-02,4.506130E+02,4.634025E+01,3.348361E+05,3.382524E+05,1.199022E-02,0.000000E+00,5.965556E+01,4.314222E+05,4.535639E+05
