Date/Time,Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep),IndoorLivingWall:InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](TimeStep) 
 01/01  01:00:00,619261744.8284744,107716570.13274135,373027846.25718683,2848152225.69,2838551040.0,4141036396.3062997 
 01/01  02:00:00,619261744.8284744,98582673.68669125,373834569.69882596,2848152225.69,2838551040.0,4132782886.771045 
 01/01  03:00:00,0.0,93041532.56551455,378905376.09155935,2848152225.69,2838551040.0,3382693752.4087725 
 01/01  04:00:00,0.0,89080348.28070669,381373892.55476516,2848152225.69,2838551040.0,3381245752.1010947 
 01/01  05:00:00,0.0,83963785.00652911,384720195.0955433,2848152225.69,2838551040.0,3379552979.2404084 
 01/01  06:00:00,0.0,75481414.34620054,388061748.29135543,2857753411.38,2838551040.0,3384229753.8303595 
 01/01  07:00:00,0.0,68616051.70394374,391173204.22132677,2857753411.38,2838551040.0,3380599398.6180086 
 01/01  08:00:00,0.0,57600506.77723954,394722361.6258,2896158154.14,2838551040.0,3411994085.351221 
 01/01  09:00:00,0.0,21856416.454426806,403690649.02397215,3011372382.42,2838551040.0,3576708849.857175 
 01/01  10:00:00,0.0,0.0,407926736.0586101,3011372382.42,2838551040.0,3559088520.4373856 
 01/01  11:00:00,80990.6017681504,0.0,411862522.4790086,3011372382.42,2838551040.0,3563024306.8577843 
 01/01  12:00:00,190291.9368418458,0.0,415064028.1881193,3011372382.42,2838551040.0,3566225812.566895 
 01/01  13:00:00,208349.91555656193,0.0,416994138.04878503,3011372382.42,2838551040.0,3553088461.6847205 
 01/01  14:00:00,263466.60745674634,0.0,419801779.5635874,3011372382.42,2838551040.0,3570963563.9423633 
 01/01  15:00:00,303712.1033907518,0.0,422128149.7937423,3011372382.42,2838551040.0,3573289934.1725183 
 01/01  16:00:00,289027.1022432074,0.0,423645244.00744915,3011372382.42,2838551040.0,3574807028.3862247 
 01/01  17:00:00,246424.52962511528,0.0,366145336.93581575,172821342.42,0.0,678756081.3145915 
 01/01  18:00:00,68931.89577730802,5833394.17611414,365963156.1176771,134416599.66000003,0.0,630935091.1697272 
 01/01  19:00:00,0.0,40908286.26679931,365892403.49602556,96011856.90000002,0.0,597399566.393081 
 01/01  20:00:00,0.0,39718590.101975925,365892403.49602556,96011856.90000002,0.0,596209870.2282575 
 01/01  21:00:00,0.0,50552900.0099796,365906191.350209,57607114.13999998,0.0,553572237.5675892 
 01/01  22:00:00,0.0,51265435.769159004,366015989.4237147,57607114.13999998,0.0,554286851.2159759 
 01/01  23:00:00,0.0,58198399.847376175,366565122.97753984,19202371.38,0.0,507758354.0588063 
 01/01  24:00:00,0.0,54446827.41910466,366633759.8122367,9601185.69,0.0,494407037.52978003 
 01/02  01:00:00,0.0,59116604.58091281,444937514.95874643,2848152225.69,2838551040.0,3415873463.7428527 
 01/02  02:00:00,0.0,61703150.00992145,379963306.94902974,2848152225.69,2838551040.0,3353407508.5893445 
 01/02  03:00:00,0.0,55940235.9555719,379462625.9829608,2848152225.69,2838551040.0,3347178798.562247 
 01/02  04:00:00,0.0,66395820.407703795,381920104.8671208,2848152225.69,2838551040.0,3359944449.670168 
 01/02  05:00:00,0.0,55634641.71085325,385207026.5659853,2848152225.69,2838551040.0,3352551675.5701256 
 01/02  06:00:00,0.0,60363270.81542198,388436229.13708705,2857753411.38,2838551040.0,3370130439.005248 
 01/02  07:00:00,0.0,48195199.7827016,391508094.46351284,2857753411.38,2838551040.0,3361177847.1940503 
 01/02  08:00:00,0.0,39551008.804841205,395145842.993087,2896158154.14,2838551040.0,3394911175.786936 
 01/02  09:00:00,0.0,9597303.41003488,404505098.06350565,3011372382.42,2838551040.0,3565264185.852316 
 01/02  10:00:00,49292.2753483743,0.0,408733722.29794246,3011372382.42,2838551040.0,3559895506.6767178 
 01/02  11:00:00,238748.93205132475,0.0,412635580.42237467,3011372382.42,2838551040.0,3563797364.8011503 
 01/02  12:00:00,358501.754244974,0.0,416331345.1319148,3011372382.42,2838551040.0,3563310874.237475 
 01/02  13:00:00,349556.63217369176,0.0,417703208.9447346,3011372382.42,2838551040.0,3553797532.5806704 
 01/02  14:00:00,206842057.10988596,0.0,421057269.8066215,3011372382.42,2838551040.0,3818514548.861226 
 01/02  15:00:00,206885813.6507248,0.0,423520234.5465316,3011372382.42,2838551040.0,3821047059.4464326 
 01/02  16:00:00,451158.6944306339,0.0,425602685.8244235,3011372382.42,2838551040.0,3576764470.2032 
 01/02  17:00:00,441474.5549989847,0.0,366345538.8959211,172821342.42,0.0,678956283.2746968 
 01/02  18:00:00,267288.29455014074,0.0,366166751.7837511,134416599.66000003,0.0,625305292.6596872 
 01/02  19:00:00,0.0,0.0,365892403.49602556,96011856.90000002,0.0,556491280.1262816 
 01/02  20:00:00,0.0,22914122.80892963,365892403.49602556,96011856.90000002,0.0,579405402.9352113 
 01/02  21:00:00,0.0,42078893.2066318,365892403.4960257,57607114.13999998,0.0,545097969.8300735 
 01/02  22:00:00,0.0,36404006.13658521,365892403.4960257,57607114.13999998,0.0,539423082.7600269 
 01/02  23:00:00,0.0,35868971.384815544,366007730.2276744,19202371.38,0.0,485417891.078508 
 01/02  24:00:00,0.0,46058970.8157007,366169536.9355322,9601185.69,0.0,486009600.71543896 
 01/03  01:00:00,0.0,49113631.80789061,442551532.7332061,2848152225.69,2838551040.0,3403869900.1734858 
 01/03  02:00:00,0.0,46770742.479895465,380315546.8983128,2848152225.69,2838551040.0,3339256342.1279182 
 01/03  03:00:00,0.0,48606509.25214752,380046153.41517913,2848152225.69,2838551040.0,3340779044.18363 
 01/03  04:00:00,0.0,50007855.015961,382495351.4144979,2848152225.69,2838551040.0,3344583618.8900194 
 01/03  05:00:00,0.0,48238130.65266369,385805010.395226,2848152225.69,2838551040.0,3346114629.0563254 
 01/03  06:00:00,0.0,44156097.53232823,389187238.8835449,2857753411.38,2838551040.0,3355101090.1023417 
 01/03  07:00:00,0.0,44323474.53219705,392151782.9539865,2857753411.38,2838551040.0,3358242181.8738036 
 01/03  08:00:00,0.0,36877359.5889016,395846296.260314,2896158154.14,2838551040.0,3393132160.95022 
 01/03  09:00:00,81629.67938208478,0.0,406181390.63036317,3011372382.42,2838551040.0,3557343175.0091386 
 01/03  10:00:00,161911.20037734945,0.0,409962769.70583105,3011372382.42,2838551040.0,3561124554.084607 
 01/03  11:00:00,290372.1667324595,0.0,413112107.0600153,3011372382.42,2838551040.0,3564273891.438791 
 01/03  12:00:00,345464.8865594135,0.0,416650797.95272565,3011372382.42,2838551040.0,3567812582.3315015 
 01/03  13:00:00,309923038.5826893,0.0,417478381.8890515,3011372382.42,2838551040.0,3929153540.7673335 
 01/03  14:00:00,335584.4653887658,0.0,420692464.4374095,3011372382.42,2838551040.0,3571854248.8161855 
 01/03  15:00:00,307060.9635415747,0.0,421969079.5587755,3011372382.42,2838551040.0,3573130863.9375515 
 01/03  16:00:00,264847.460654807,0.0,423246579.62519157,3011372382.42,2838551040.0,3574408364.0039673 
 01/03  17:00:00,204468.80692776953,19547721.160490423,366102273.0197484,172821342.42,0.0,698260738.5590146 
 01/03  18:00:00,0.0,31839820.174448106,365892403.4960257,134416599.66000003,0.0,656870764.5464098 
 01/03  19:00:00,0.0,35024931.36504148,365892403.4960257,96011856.90000002,0.0,591516211.4913232 
 01/03  20:00:00,0.0,45794695.24528642,365892403.49602556,96011856.90000002,0.0,602285975.3715681 
 01/03  21:00:00,0.0,56461663.40607663,366102045.9465686,57607114.13999998,0.0,559565106.2298094 
 01/03  22:00:00,0.0,61718915.23543238,366377683.4274011,57607114.13999998,0.0,564866122.2322761 
 01/03  23:00:00,0.0,74004359.22796093,367206998.0383882,19202371.38,0.0,523689798.41347814 
 01/03  24:00:00,0.0,80116591.07914445,367506800.8107757,9601185.69,0.0,520210578.3382545 
 01/04  01:00:00,0.0,86522922.33056735,409359594.48726225,2848152225.69,2838551040.0,3406844708.0365353 
 01/04  02:00:00,619261744.8284744,96514516.8513816,376795947.953417,2848152225.69,2838551040.0,4133680818.150624 
 01/04  03:00:00,309630872.4142372,96615785.54682367,379482771.08711123,2848152225.69,2838551040.0,3761572470.8801975 
 01/04  04:00:00,0.0,90816328.88612977,381366347.432539,2848152225.69,2838551040.0,3382902465.3923426 
 01/04  05:00:00,0.0,88976631.56977755,384550270.7484417,2848152225.69,2838551040.0,3384257617.082547 
 01/04  06:00:00,0.0,84148861.32157566,387727824.1848475,2857753411.38,2838551040.0,3392342303.6336102 
 01/04  07:00:00,0.0,76460036.02836399,390677624.78546304,2857753411.38,2838551040.0,3387727009.94207 
 01/04  08:00:00,0.0,61754771.04209457,394240483.8867175,2896158154.14,2838551040.0,3415508953.7356205 
 01/04  09:00:00,0.0,22517112.828534536,403066911.7816767,3011372382.42,2838551040.0,3576745808.988987 
 01/04  10:00:00,0.0,0.0,407499388.2714027,3011372382.42,2838551040.0,3558661172.6501784 
 01/04  11:00:00,95350.93917101118,0.0,411443650.05436504,3011372382.42,2838551040.0,3562605434.4331408 
 01/04  12:00:00,194684.0047549754,0.0,414546806.3483458,3011372382.42,2838551040.0,3565708590.7271214 
 01/04  13:00:00,267208.50126015896,0.0,417303394.7970568,3011372382.42,2838551040.0,3553397718.432993 
 01/04  14:00:00,380911.98238508654,0.0,421158936.7105665,3011372382.42,2838551040.0,3572320721.0893426 
